,round_epochs,val_loss,val_acc,loss,acc,lr,first_neuron,hidden_layers,batch_size,epochs,dropout,weight_regulizer,emb_output_dims,shape,kernel_initializer,optimizer,losses,activation,last_activation
10,150,0.42616749125429326,0.8796296359764205,0.42516902231971226,0.8167330755655509,1.625,16,2,3,150,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
11,50,0.4173049539396608,0.8703703703703703,0.45960242292320586,0.8087649402390438,1.0625,64,4,2,50,0.0,None,None,brick,uniform,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
12,100,0.43459847666047235,0.8796296296296297,0.42757201883422424,0.8167330679665523,1.625,32,4,4,100,0.0,None,None,long_funnel,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
13,150,0.4253173806463127,0.8611111111111112,0.4311265997974521,0.8087649404765125,4.4375,32,2,4,150,0.0,None,None,brick,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
14,150,0.4548223987117294,0.8796296296296297,0.4482136341057563,0.8167330677290837,3.3125,16,4,1,150,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
15,100,0.46033894181191165,0.8611111111111112,0.45993615544644145,0.8047808764940239,2.1875,16,5,2,100,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
16,50,0.4395505250604064,0.8703703703703703,0.4693777499445881,0.7768924305163531,1.625,32,2,4,50,0.0,None,None,long_funnel,uniform,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
17,150,0.44839930948283935,0.8703703703703703,0.44152350247321853,0.8167330677290837,1.625,16,2,2,150,0.0,None,None,long_funnel,uniform,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
18,50,0.43149774416384323,0.8611111111111112,0.4613116636753557,0.8167330677290837,3.3125,8,4,2,50,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
19,100,0.3908001398667693,0.8796296359764205,0.41952650969573463,0.8127490124142027,1.625,64,3,3,100,0.0,None,None,long_funnel,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
20,50,0.44761802317333166,0.8703703703703703,0.4734810182205086,0.8087649402390438,3.3125,16,3,2,50,0.0,None,None,brick,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
21,150,0.4161497475751848,0.8888888888888888,0.4585859837414942,0.8167330677290837,3.3125,64,2,2,150,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
22,50,0.4485420592267204,0.8703703703703703,0.47023012949176046,0.8007968127490039,3.3125,64,2,4,50,0.0,None,None,brick,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
23,100,0.418955511448008,0.8611111111111112,0.4359138232778268,0.8207171317115723,3.875,16,3,4,100,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
24,150,0.45396396368138353,0.8611111111111112,0.43573869301021967,0.8207171314741036,3.875,8,2,2,150,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
25,150,0.40045667439699173,0.8518518518518519,0.40969102384811973,0.8167330677290837,0.5,16,5,1,150,0.0,None,None,brick,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
26,150,0.4284625038659821,0.8611111111111112,0.42782845246783907,0.8127490039840638,3.875,8,2,2,150,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
27,50,0.4285569187897501,0.8796296296296297,0.4613585358695664,0.8007968127490039,2.1875,64,3,1,50,0.0,None,None,long_funnel,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
28,100,0.4030348283963071,0.8703703703703703,0.45587694903175197,0.8047808764940239,3.875,8,4,2,100,0.0,None,None,brick,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
29,100,0.5277883353884574,0.7870370370370371,0.589227699923266,0.6972111553784861,4.4375,16,5,2,100,0.0,None,None,brick,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
30,50,0.4533720508226435,0.8611111111111112,0.4661187313393174,0.7888446215139442,1.625,8,2,2,50,0.0,None,None,brick,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
31,100,0.4459322969411948,0.8888888888888888,0.45129310340864714,0.8127490039840638,4.4375,32,2,2,100,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
32,100,0.41741408938024605,0.8796296359764205,0.4135214476679188,0.8247012038867312,2.75,8,3,3,100,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
33,50,0.4550698400923499,0.8796296296296297,0.4872620918442944,0.7768924305163531,1.625,8,4,4,50,0.0,None,None,brick,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
34,150,0.4059808463272121,0.8703703772690561,0.4357814852044402,0.8207171389543678,3.3125,8,5,3,150,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
35,150,0.4177150719419674,0.8518518518518519,0.44779919215526237,0.8087649403577781,3.875,64,4,4,150,0.0,None,None,brick,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
36,100,0.461050440315847,0.8703703703703703,0.4729937762912526,0.7848605577689243,0.5,8,3,4,100,0.0,None,None,brick,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
37,100,0.40014256350696087,0.8796296296296297,0.42926044180336226,0.8167330679665523,1.625,16,3,4,100,0.0,None,None,brick,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
38,50,0.4370123551020192,0.8703703764412138,0.4600185347327673,0.8047808861115064,1.0625,8,3,3,50,0.0,None,None,long_funnel,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
39,100,0.40606915460968457,0.8703703703703703,0.46238296375836274,0.8007968127490039,3.875,32,5,2,100,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
40,50,0.4560702870225618,0.8611111111111112,0.47605750009575,0.7928286852589641,4.4375,16,4,1,50,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
41,100,0.41411548632162587,0.8518518518518519,0.42582829646855236,0.820717131592838,1.0625,8,5,4,100,0.0,None,None,brick,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
42,50,0.4134635209209389,0.8611111111111112,0.4496407521910876,0.8007968129864727,0.5,32,2,4,50,0.0,None,None,brick,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
43,150,0.44491825349352976,0.8703703703703703,0.46891391159692014,0.7808764940239044,2.1875,16,5,2,150,0.0,None,None,brick,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
44,100,0.42196128259685656,0.8611111111111112,0.4445444374242974,0.8127490039840638,1.625,16,2,1,100,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
45,150,0.4464564315578038,0.8703703703703703,0.4385687193603244,0.8167330677290837,1.625,32,5,2,150,0.0,None,None,brick,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
46,100,0.41963529630030044,0.8796296296296297,0.4460137009233852,0.8127490039840638,3.3125,16,3,1,100,0.0,None,None,brick,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
47,100,0.4057724351339318,0.8703703703703703,0.41932247307492915,0.8087649402390438,1.625,32,2,2,100,0.0,None,None,brick,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
48,100,0.45164546727287586,0.8611111111111112,0.44108395473910533,0.8087649402390438,2.1875,8,2,1,100,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
49,100,0.42143636710803817,0.8703703703703703,0.42631703749506833,0.8326693227091634,2.1875,32,3,2,100,0.0,None,None,long_funnel,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
50,50,0.4201237161954244,0.8518518518518519,0.44781619547847734,0.8047808764940239,1.0625,16,2,4,50,0.0,None,None,brick,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
51,100,0.4394290978067922,0.8796296296296297,0.43925079498003505,0.8167330677290837,3.3125,8,3,1,100,0.0,None,None,long_funnel,uniform,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
52,50,0.4584446294164216,0.8611111111111112,0.5105916215255263,0.7609561752988048,2.75,64,5,2,50,0.0,None,None,brick,uniform,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
53,100,0.4134618512988608,0.8796296296296297,0.4878453009692908,0.7808764940239044,1.625,64,5,1,100,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
54,50,0.4548000173160323,0.8981481481481481,0.49633354328543067,0.7689243030263133,3.875,8,4,4,50,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
55,50,0.44788246301727164,0.8703703764412138,0.47580817264627173,0.8007968207042055,3.875,16,4,3,50,0.0,None,None,long_funnel,uniform,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
56,150,0.4146761873788718,0.8703703772690561,0.3994634179361313,0.8247012028181221,2.1875,64,2,3,150,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
57,50,0.4524668887283446,0.8703703703703703,0.46953973938447546,0.796812749003984,3.875,16,3,2,50,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
58,50,0.4132100623208788,0.8703703703703703,0.4520406033233561,0.8047808764940239,0.5,16,2,1,50,0.0,None,None,brick,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
59,150,0.4458583727892902,0.8703703772690561,0.4584645644067768,0.804780885280366,4.4375,32,5,3,150,0.0,None,None,brick,uniform,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
60,100,0.4253617032534546,0.8703703772690561,0.4066949096912763,0.8167330765154257,1.625,32,2,3,100,0.0,None,None,brick,uniform,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
61,100,0.4219378953868592,0.8796296296296297,0.4186249954766961,0.8127490039840638,2.75,8,4,2,100,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
62,150,0.3998214316864808,0.8611111111111112,0.45566154439818574,0.8167330677290837,4.4375,64,4,2,150,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
63,150,0.44079491624142975,0.8796296296296297,0.44905267691063705,0.8047808764940239,2.75,32,2,1,150,0.0,None,None,brick,uniform,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
64,100,0.4156132485303614,0.8703703764412138,0.45362928808032277,0.8207171385981648,3.875,8,4,3,100,0.0,None,None,long_funnel,uniform,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
65,50,0.4064864479005337,0.8796296296296297,0.4464213651608661,0.8087649403577781,1.0625,32,2,4,50,0.0,None,None,brick,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
66,50,0.4314432685711869,0.8888888888888888,0.4792576264590025,0.796812749003984,4.4375,16,5,2,50,0.0,None,None,brick,uniform,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
67,100,0.40207918195260894,0.8703703703703703,0.4399749099080306,0.8047808764940239,2.1875,32,5,2,100,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
68,50,0.43368555212186444,0.8796296359764205,0.457679207789233,0.8047808849241629,3.3125,64,3,3,50,0.0,None,None,long_funnel,uniform,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
69,50,0.4567360469976578,0.8611111111111112,0.4869492104670322,0.7768924302788844,3.3125,16,2,2,50,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
70,150,0.41285742833106603,0.8703703703703703,0.42911327039578046,0.8167330678478181,3.3125,32,2,4,150,0.0,None,None,brick,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
71,100,0.449491063322596,0.8703703703703703,0.43557008265362307,0.8127490039840638,3.3125,8,3,2,100,0.0,None,None,brick,uniform,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
72,50,0.42477416650702554,0.888888894683785,0.45783328342129037,0.8007968218915491,0.5,8,5,3,50,0.0,None,None,brick,uniform,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
73,100,0.453391786392297,0.8611111111111112,0.4621653079185755,0.7848605577689243,1.625,64,4,1,100,0.0,None,None,brick,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
74,50,0.43242423849531203,0.8888888888888888,0.4540921806359352,0.8087649402390438,4.4375,16,2,1,50,0.0,None,None,brick,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
75,100,0.3988979274958924,0.8796296296296297,0.41376089266096927,0.8207171314741036,2.75,8,3,4,100,0.0,None,None,long_funnel,uniform,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
76,100,0.41528524977008974,0.8611111111111112,0.4337303974922157,0.8087649402390438,1.0625,32,4,1,100,0.0,None,None,brick,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
77,100,0.45568047201743833,0.8703703703703703,0.4578802936610235,0.7928286854964328,2.75,8,5,4,100,0.0,None,None,brick,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
78,50,0.4487125554846393,0.8703703703703703,0.46667310448207583,0.7928286852589641,1.625,32,2,2,50,0.0,None,None,brick,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
79,100,0.42074995832862677,0.8796296296296297,0.44549753876083875,0.8207171314741036,2.75,8,4,4,100,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
80,50,0.38829566227893036,0.8796296296296297,0.4598702248853754,0.8007968127490039,1.625,32,4,2,50,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
81,50,0.4978792280372646,0.8703703772690561,0.5121561619211953,0.7609561856286934,0.5,8,4,3,50,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
82,100,0.45562092252073316,0.8796296296296297,0.47485364035343874,0.7848605577689243,1.625,8,5,1,100,0.0,None,None,brick,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
83,150,0.4253474239397932,0.8518518518518519,0.42741866807538675,0.8167330679665523,3.875,8,3,4,150,0.0,None,None,long_funnel,uniform,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
84,50,0.4101999929795663,0.8703703772690561,0.4553732504489353,0.8087649495003233,1.0625,32,3,3,50,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
85,50,0.44994573088155854,0.8425926011469629,0.5039041056279168,0.7689243126437959,3.875,64,4,3,50,0.0,None,None,long_funnel,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function elu at 0x000002B8ADC76C80>,<function sigmoid at 0x000002B8ADC850D0>
86,50,0.6874792840745714,0.5555555555555556,0.6914147953113237,0.5338645418326693,3.3125,8,5,2,50,0.0,None,None,brick,normal,<class 'keras.optimizers.Nadam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
87,150,0.4514231536347695,0.8796296296296297,0.4786018719210241,0.8007968127490039,2.1875,8,4,2,150,0.0,None,None,long_funnel,uniform,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
88,150,0.4415902842388109,0.8611111111111112,0.40390536646206543,0.8366533864541833,0.5,64,2,4,150,0.0,None,None,brick,normal,<class 'keras.optimizers.Adam'>,<function binary_crossentropy at 0x000002B8A86727B8>,<function relu at 0x000002B8ADC76F28>,<function sigmoid at 0x000002B8ADC850D0>
